observation_date,CSUSHPINSA
2006-01-01,180.828000000000003
2006-02-01,181.500000000000000
2006-03-01,182.748999999999995
2006-04-01,183.647999999999996
2006-05-01,184.379999999999995
2006-06-01,184.546999999999997
2006-07-01,184.606999999999999
2006-08-01,184.403999999999996
2006-09-01,184.198000000000008
2006-10-01,184.052999999999997
2006-11-01,183.629999999999995
2006-12-01,183.229000000000013
2007-01-01,182.717999999999989
2007-02-01,182.471000000000004
2007-03-01,182.193000000000012
2007-04-01,182.130999999999972
2007-05-01,181.884999999999991
2007-06-01,181.539999999999992
2007-07-01,180.992999999999995
2007-08-01,180.234000000000009
2007-09-01,179.122000000000014
2007-10-01,177.529000000000025
2007-11-01,175.160999999999973
2007-12-01,173.337000000000018
2008-01-01,171.075999999999993
2008-02-01,169.189999999999998
2008-03-01,167.902000000000015
2008-04-01,167.320999999999998
2008-05-01,167.019000000000005
2008-06-01,166.535999999999973
2008-07-01,165.712999999999994
2008-08-01,164.277000000000015
2008-09-01,161.912000000000006
2008-10-01,159.162000000000006
2008-11-01,156.070999999999998
2008-12-01,152.543999999999983
2009-01-01,149.360999999999990
2009-02-01,147.617000000000019
2009-03-01,146.514000000000010
2009-04-01,146.942000000000007
2009-05-01,148.168999999999983
2009-06-01,149.795999999999992
2009-07-01,150.747999999999990
2009-08-01,150.668000000000006
2009-09-01,149.627999999999986
2009-10-01,148.585000000000008
2009-11-01,147.939999999999998
2009-12-01,146.665999999999997
2010-01-01,145.002999999999986
2010-02-01,143.054000000000002
2010-03-01,143.596000000000004
2010-04-01,145.402000000000015
2010-05-01,147.037000000000006
2010-06-01,147.703000000000003
2010-07-01,147.562999999999988
2010-08-01,146.427000000000021
2010-09-01,144.608000000000004
2010-10-01,143.127999999999986
2010-11-01,141.816000000000003
2010-12-01,140.625000000000000
2011-01-01,139.032000000000011
2011-02-01,137.727000000000004
2011-03-01,137.781000000000006
2011-04-01,139.156000000000006
2011-05-01,140.692000000000007
2011-06-01,141.943999999999988
2011-07-01,142.342000000000013
2011-08-01,141.783999999999992
2011-09-01,140.164999999999992
2011-10-01,138.405000000000001
2011-11-01,136.659999999999997
2011-12-01,135.162000000000006
2012-01-01,134.162000000000006
2012-02-01,133.991000000000014
2012-03-01,135.859000000000009
2012-04-01,138.466000000000008
2012-05-01,141.043000000000006
2012-06-01,143.165999999999997
2012-07-01,144.281000000000006
2012-08-01,144.704000000000008
2012-09-01,144.354999999999990
2012-10-01,143.962000000000018
2012-11-01,143.953000000000003
2012-12-01,143.860000000000014
